Time_Now,L_F,R_F,L_SPL,R_SPL,Max_SPL_L,Max_SPL_R,PeakRatio_L_R,Time_Delay,Sound_Dir,Loud?_LR,Sound_Dist
15:13:34,stereoCollect/shoe/a_88_1.wav,stereoCollect/shoe/a_88_0.wav,113.26311821052103,114.14192191941979,29,33.885576,0.8558213677701686,0.0006319599999999996,138.241,R,261787.549
15:13:35,stereoCollect/shoe/a_89_1.wav,stereoCollect/shoe/a_89_0.wav,116.10407373823855,115.86254073889307,42,43.298236,0.9700164228399512,0.0001330999999999997,29.116,R,35926.026
15:13:36,stereoCollect/shoe/a_90_1.wav,stereoCollect/shoe/a_90_0.wav,117.09537331213484,115.93452895710058,53,48.945832,1.0828296881336086,0.00015576999999999952,34.075,L,22740.096
15:13:37,stereoCollect/shoe/a_91_1.wav,stereoCollect/shoe/a_91_0.wav,114.8982532050035,114.6363697818843,34,35.768108000000005,0.9505674720060674,1.971999999999998e-05,4.314,R,103071.172
15:13:38,stereoCollect/shoe/a_92_1.wav,stereoCollect/shoe/a_92_0.wav,118.42835287381297,117.82643651025927,44,39.533172,1.1129893649818943,0.0037158599999999996,812.844,L,5753.014
15:13:39,stereoCollect/shoe/a_93_1.wav,stereoCollect/shoe/a_93_0.wav,116.94000721274344,116.20802100019077,52,43.298236,1.2009727139923205,0.00015576999999999952,34.075,L,21616.377
15:13:40,stereoCollect/shoe/a_94_1.wav,stereoCollect/shoe/a_94_0.wav,115.08408167603783,114.58710604671963,35,31.061778,1.1267867538039837,0.0004959099999999996,108.48,L,97119.393
15:13:41,stereoCollect/shoe/a_95_1.wav,stereoCollect/shoe/a_95_0.wav,116.5708562343991,115.60779045726701,43,38.591906,1.1142232778033818,0.00029182999999999987,63.838,L,32789.141
15:13:42,stereoCollect/shoe/a_96_1.wav,stereoCollect/shoe/a_96_0.wav,115.82627126968367,115.71511180999096,37,38.591906,0.9587502622959332,6.506999999999954e-05,14.234,R,43161.375
15:13:43,stereoCollect/shoe/a_97_1.wav,stereoCollect/shoe/a_97_0.wav,116.40407796475128,116.02695407920727,41,42.356970000000004,0.9679634780297078,-0.00011634000000000037,-25.449,R,29413.488
15:13:44,stereoCollect/shoe/a_98_1.wav,stereoCollect/shoe/a_98_0.wav,118.3518533679975,118.4415284037508,55,52.710896000000005,1.0434275296705258,1.971999999999998e-05,4.314,L,4581.436
